id,text,label
1,senior CBI officer,1
2,number will be blocked in 2 hours and he needs to go under an online investigation,1
3,Press windows-R' fake captcha. Google 'Clickfix.',1
4,send money through the link in her bio,1
5,You are under digital arrest. Stay on the line and follow instructions.,1
6,This is the CBI cybercrime division,1
7,,
8,"For your security, send money to a temporary holding account we provide",1
9,,
10,,
11,your Aadhaar is linked to illegal activity.,1
12,Do not disconnect the call,1
13,"If you disconnect, we will arrest you immediately",1
14,,
15,Your Aadhaar needs urgent update. Click this link to verify.,1
16,,
17,,
18,Transfer the verification amount immediately to the government escrow account for clearance.,1
19,,
20,,
21,Immediately provide your password to restore access.,1
22,,
23,Click this link to verify.,1
24,,
25,Your bank account will be frozen within 30 minutes unless you cooperate,1
26,,
27,,
28,your number will be blocked unless you verify now,1
29,,
30,,
31,This investigation is confidential.,1
32,,
33,If you speak to anyone or go to the police,1
34,,
35,"Do not tell anyone, not even your family",1
36,,
37,,
38,remain silent,1
39,This is TRAI authority,1
40,,
41,,
42,You must stay on video call,1
43,,
44,,
45,,
46,,
47,do exactly as we say,1
48,,
49,,
50,This is Telecom authority,1
51,,
52,,
53,we will show you the evidence and process you now,1
54,,
55,,
56,,
57,,
58,Your Aadhaar has been used for child pornography,1
59,,
60,This is the Enforcement Directorate,1
61,,
62,,
63,We have initiated action under PMLA,1
64,,
65,,
66,transfer funds for verification,1
67,,
68,,
69,,
70,Your SIM has been used for child pornography,1
71,,
72,,
73,,
74,We’re calling from your bank’s fraud hotline,1
75,,
76,This is the IRS,1
77,,
78,,
79,We are monitoring all your devices and will trace your contacts,1
80,,
81,,
82,you owe back taxes and a warrant will be issued unless you pay right now,1
83,,
84,cooperate to avoid consequences,1
85,,
86,Your SIM has been used for illegal gambling,1
87,,
88,,
89,,
90,Your Aadhaar has been used for illegal gambling,1
91,,
92,,
93,Your bank’s fraud team detected suspicious activity,1
94,,
95,,
96,you must cooperate or we’ll confiscate assets,1
97,,
98,,
99,We will show you a court order and FIR right now,1
100,,
101,,
102,If you don’t follow instructions we will publish your private images online,1
103,,
104,,
105,Your bank’s fraud team detected suspicious activity,1
106,,
107,We are from the court clerk’s office,1
108,,
109,,
110,send the medical code right now,1
111,,
112,Transfer the money to a protective account immediately.,1
113,,
114,,
115,This is the fraud department,1
116,,
117,,
118,"To protect your account we will move funds to a holding account, give us remote access now",1
119,,
120,,
121,"We have a court order and an FIR against you, do not go to the police, or it’ll look like obstruction",1
122,,
123,your number will be disconnected today unless you verify with us.,1
124,,
125,,
126,,
127,We are from tech support and we’ll remotely remove viruses.,1
128,,
129,,
130,You must pay an administrative fee for customs clearance of your parcel,1
131,,
132,,
133,your tax refund will be withheld unless you confirm your bank details now,1
134,,
135,,
136,"This is Microsoft support, your computer is infected",1
137,,
138,,
139,,
140,click the link to pay now.,1
141,,
142,,
143,First install TeamViewer and give us the code,1
144,,
145,First install AnyDesk and give us the code,1
146,,
147,Your social media account has been flagged for illegal content,1
148,,
149,,
150,,
151,,
152,"Don’t turn it off, call us and install our support software.",1
153,,
154,,
155,,
156,We’ve opened an account in your name on an exchange,1
157,,
158,,
159,We found suspicious transactions on your account,1
160,,
161,,
162,You’ve won a foreign lottery,1
163,,
164,,
165,,
166,We are law enforcement,1
167,,
168,,
169,,
170,for your safety you must send the OTP you just received,1
171,,
172,,
173,,
174,"to claim, pay the processing fee to this account",1
175,,
176,,
177,Your PC has sent illegal content. If you don’t cooperate and transfer funds we will report you to the police,1
178,,
179,,
180,This is the telecom regulator,1
181,,
182,your relative has been arrested abroad. Wire bail immediately or they will remain detained,1
183,,
184,,
185,to close it you must transfer a small ‘verification’ fee,1
186,,
187,,
188,your passport is invalid,1
189,,
190,,
191,This is the anti-fraud unit,1
192,,
193,your visa is invalid,1
194,,
195,Your family member needs urgent medical funds overseas,1
196,,
197,,
198,we will visit your home unless you cooperate over the phone,1
199,,
200,,
