id,text,label
1,senior CBI officer,1
2,number will be blocked in 2 hours and he needs to go under an online investigation,1
3,Press windows-R' fake captcha. Google 'Clickfix.',1
4,send money through the link in her bio,1
5,You are under digital arrest. Stay on the line and follow instructions.,1
6,This is the CBI cybercrime division,1
7,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
8,"For your security, send money to a temporary holding account we provide",1
9,The Income Tax Department communicates notices only through the official portal and registered mail.,0
10,"For any investigation, you will receive written documentation through authorized channels.",0
11,your Aadhaar is linked to illegal activity.,1
12,Do not disconnect the call,1
13,"If you disconnect, we will arrest you immediately",1
14,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
15,Your Aadhaar needs urgent update. Click this link to verify.,1
16,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
17,Court summons are delivered through legally documented procedures and not via video calls.,0
18,Transfer the verification amount immediately to the government escrow account for clearance.,1
19,Law enforcement officers will identify themselves through verifiable credentials.,0
20,No legitimate authority will demand immediate fund transfers for verification.,0
21,Immediately provide your password to restore access.,1
22,Official bank communication never asks customers to move money to a holding account.,0
23,Click this link to verify.,1
24,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
25,Your bank account will be frozen within 30 minutes unless you cooperate,1
26,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
27,The Income Tax Department communicates notices only through the official portal and registered mail.,0
28,your number will be blocked unless you verify now,1
29,"For any investigation, you will receive written documentation through authorized channels.",0
30,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
31,This investigation is confidential.,1
32,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
33,If you speak to anyone or go to the police,1
34,Court summons are delivered through legally documented procedures and not via video calls.,0
35,"Do not tell anyone, not even your family",1
36,Law enforcement officers will identify themselves through verifiable credentials.,0
37,No legitimate authority will demand immediate fund transfers for verification.,0
38,remain silent,1
39,This is TRAI authority,1
40,Official bank communication never asks customers to move money to a holding account.,0
41,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
42,You must stay on video call,1
43,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
44,The Income Tax Department communicates notices only through the official portal and registered mail.,0
45,"For any investigation, you will receive written documentation through authorized channels.",0
46,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
47,do exactly as we say,1
48,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
49,Court summons are delivered through legally documented procedures and not via video calls.,0
50,This is Telecom authority,1
51,Law enforcement officers will identify themselves through verifiable credentials.,0
52,No legitimate authority will demand immediate fund transfers for verification.,0
53,we will show you the evidence and process you now,1
54,Official bank communication never asks customers to move money to a holding account.,0
55,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
56,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
57,The Income Tax Department communicates notices only through the official portal and registered mail.,0
58,Your Aadhaar has been used for child pornography,1
59,"For any investigation, you will receive written documentation through authorized channels.",0
60,This is the Enforcement Directorate,1
61,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
62,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
63,We have initiated action under PMLA,1
64,Court summons are delivered through legally documented procedures and not via video calls.,0
65,Law enforcement officers will identify themselves through verifiable credentials.,0
66,transfer funds for verification,1
67,No legitimate authority will demand immediate fund transfers for verification.,0
68,Official bank communication never asks customers to move money to a holding account.,0
69,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
70,Your SIM has been used for child pornography,1
71,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
72,The Income Tax Department communicates notices only through the official portal and registered mail.,0
73,"For any investigation, you will receive written documentation through authorized channels.",0
74,Were calling from your banks fraud hotline,1
75,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
76,This is the IRS,1
77,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
78,Court summons are delivered through legally documented procedures and not via video calls.,0
79,We are monitoring all your devices and will trace your contacts,1
80,Law enforcement officers will identify themselves through verifiable credentials.,0
81,No legitimate authority will demand immediate fund transfers for verification.,0
